trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
350,False,"{'a': 0.15, 'e': 0.02670303460587938}",25,11,29.296135628951035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.15, 'e': 0.026436004259820584}",20,2,27.612506485133096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.15, 'e': 0.02617164421722238}",30,16,22.76178936887831,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.15, 'e': 0.025909927775050155}",20,9,16.919905843211627,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.15, 'e': 0.025650828497299653}",25,19,8.49929385533611,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.15, 'e': 0.025394320212326658}",20,9,16.857589984579747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.15, 'e': 0.025140377010203392}",30,24,11.925803747875934,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.15, 'e': 0.024888973240101357}",20,9,15.365575918750805,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.15, 'e': 0.024640083507700344}",25,9,30.54518342523977,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.15, 'e': 0.02439368267262334}",20,12,16.49687363927133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.15, 'e': 0.024149745845897106}",20,13,14.46093572034355,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.15, 'e': 0.023908248387438134}",25,13,24.478823133568937,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.15, 'e': 0.02366916590356375}",25,9,28.292222369224685,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.15, 'e': 0.02343247424452811}",25,17,13.998505747581696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.15, 'e': 0.02319814950208283}",25,17,11.765717830056065,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.15, 'e': 0.022966168007062002}",20,15,10.587251042855506,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.15, 'e': 0.022736506326991382}",20,0,28.15650360439301,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
367,False,"{'a': 0.15, 'e': 0.022509141263721468}",20,0,33.81999823989957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
368,False,"{'a': 0.15, 'e': 0.022284049851084252}",25,8,27.188375753449964,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.15, 'e': 0.02206120935257341}",20,12,14.239029943242853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.15, 'e': 0.021840597259047675}",20,10,22.057054748704957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.15, 'e': 0.021622191286457197}",20,9,20.23755172745175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.15, 'e': 0.021405969373592626}",20,5,24.744606388367576,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.15, 'e': 0.0211919096798567}",35,6,54.212934544453546,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.15, 'e': 0.020979990583058133}",25,15,20.656251263180586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.15, 'e': 0.020770190677227553}",30,22,14.542909291252514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.15, 'e': 0.020562488770455276}",25,12,22.30312310869508,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.15, 'e': 0.020356863882750723}",30,15,26.86893371397463,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.15, 'e': 0.020153295243923217}",25,14,20.046450831035806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.15, 'e': 0.019951762291483984}",20,0,30.773046721312845,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
380,False,"{'a': 0.15, 'e': 0.019752244668569143}",25,12,20.596456250291638,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.15, 'e': 0.019554722221883453}",20,3,28.55704518169796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.15, 'e': 0.01935917499966462}",25,13,20.341574114964757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.15, 'e': 0.01916558324966797}",30,14,28.79976457032152,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.15, 'e': 0.018973927417171292}",20,11,16.691850559532227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.15, 'e': 0.018784188142999578}",20,7,-16.238486381609782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
386,False,"{'a': 0.15, 'e': 0.01859634626156958}",30,17,24.17392610921674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.15, 'e': 0.018410382798953885}",25,17,17.574778051003687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.15, 'e': 0.018226278970964346}",30,24,10.929319106846771,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.15, 'e': 0.018044016181254702}",20,7,23.542179848076405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.15, 'e': 0.017863576019442155}",25,10,23.977963936753042,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.15, 'e': 0.017684940259247734}",25,16,19.06472639389705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.15, 'e': 0.017508090856655258}",20,0,28.599964723212334,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
393,False,"{'a': 0.15, 'e': 0.017333009948088705}",25,14,22.622062995659974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.15, 'e': 0.017159679848607817}",30,16,17.5790365790801,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.15, 'e': 0.016988083050121738}",20,12,17.237011011261558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.15, 'e': 0.01681820221962052}",25,9,25.405180566743397,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.15, 'e': 0.016650020197424314}",30,0,46.120532161440366,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
398,False,"{'a': 0.15, 'e': 0.01648351999545007}",30,16,24.038126997076137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.15, 'e': 0.016318684795495572}",35,18,8.315888134378604,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
400,False,"{'a': 0.15, 'e': 0.016155497947540617}",20,11,19.33409394719545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.15, 'e': 0.015993942968065212}",20,10,16.419388852302813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.15, 'e': 0.01583400353838456}",25,18,14.205173246362552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.15, 'e': 0.015675663503000713}",25,14,20.992166651949052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.15, 'e': 0.015518906867970706}",25,16,19.73277351750572,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.15, 'e': 0.015363717799290999}",20,4,16.4688302139644,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
406,False,"{'a': 0.15, 'e': 0.015210080621298088}",20,11,21.218156432550916,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.15, 'e': 0.015057979815085108}",20,6,25.761585705370365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.15, 'e': 0.014907400016934257}",20,5,23.269951159734855,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.15, 'e': 0.014758326016764915}",20,3,27.801520451102693,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.15, 'e': 0.014610742756597265}",30,20,15.908541077058487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.15, 'e': 0.014464635329031292}",25,14,17.886865639546755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.15, 'e': 0.014319988975740978}",20,13,12.965402698846347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.15, 'e': 0.014176789085983568}",20,13,11.35486025440553,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.15, 'e': 0.014035021195123731}",25,11,25.367080433234765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.15, 'e': 0.013894670983172494}",25,8,34.08742590827208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.15, 'e': 0.013755724273340769}",20,12,7.693517214660779,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.15, 'e': 0.01361816703060736}",20,13,2.5316206081546726,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.15, 'e': 0.013481985360301287}",25,13,23.15454623825224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.15, 'e': 0.013347165506698275}",25,17,17.916416768685128,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.15, 'e': 0.013213693851631292}",20,12,14.90388479301356,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.15, 'e': 0.013081556913114979}",25,12,26.601427115697035,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.15, 'e': 0.01295074134398383}",25,9,17.84473042540079,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.15, 'e': 0.01282123393054399}",20,9,18.328716335414697,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.15, 'e': 0.01269302159123855}",20,10,19.471316360049823,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.15, 'e': 0.012566091375326164}",25,16,16.969069719610623,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.15, 'e': 0.012440430461572902}",30,7,40.17625921292257,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.15, 'e': 0.012316026156957174}",25,13,9.43400486686225,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
428,False,"{'a': 0.15, 'e': 0.012192865895387602}",25,18,14.931553016937405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.15, 'e': 0.012070937236433725}",25,11,28.631252340084785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.15, 'e': 0.011950227864069388}",25,9,29.344749001943534,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.15, 'e': 0.011830725585428694}",20,10,19.569926862527314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.15, 'e': 0.011712418329574406}",20,8,18.562181845109567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.15, 'e': 0.011595294146278662}",20,8,20.498261472563435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.15, 'e': 0.011479341204815875}",20,13,15.682033305146941,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.15, 'e': 0.011364547792767715}",20,13,12.365487989884858,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.15, 'e': 0.011250902314840038}",30,4,38.27308694626515,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.15, 'e': 0.011138393291691638}",25,20,10.152791992079845,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.15, 'e': 0.01102700935877472}",25,10,26.208238111108827,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.15, 'e': 0.010916739265186973}",25,16,18.170141565181712,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.15, 'e': 0.010807571872535103}",20,2,29.616479746435278,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.15, 'e': 0.010699496153809752}",20,10,20.076568399348503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.15, 'e': 0.010592501192271654}",20,16,7.140691025760087,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.15, 'e': 0.010486576180348938}",25,19,12.357304370846553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
